add.01, ADD, Pass, ns4516, Add 100 and 17
add.02, ADD, Pass, ns4516, Add 2147483000 and 999 (should cause overflow)
add.03, ADD, Pass, ns4516, Add 0 to -5
add.04, ADD, Pass, qf316, Add -16 to -16
add.05, ADD, Pass, qf316, Add -2147483648 to -2147483648 (should cause overflow)
add.06, ADD, Pass, ns4516, Add 1 to 2147483646 (should not cause overflow)
add.07, ADD, Pass, ns4516, Add -1 to -2147483647 (should not cause overflow)
addi.01, ADDI, Pass, ns4516, Add 4 and 0
addi.02, ADDI, Pass, ns4516, Add -999 to 882 in $v0
addi.03, ADDI, Pass, ns4516, Add 1 to 2147483646 in $v0 (should not cause overflow)
addi.04, ADDI, Pass, ns4516, Add 1 to 2147483647 in $v0 (should cause overflow)
addiu.01, ADDIU, Pass, ns4516, Add 4 and 0
addiu.02, ADDIU, Pass, ns4516, Add -999 to 882 in $v0
addiu.03, ADDIU, Pass, ns4516, Add 1 to 2147483646 in $v0 (should not cause overflow)
addiu.04, ADDIU, Pass, ns4516, Add 1 to 2147483647 in $v0 (should cause overflow without exception)
addiu.05, ADDIU, Pass, ns4516, Add -10 to -2147483648 in $v0 (should cause overflow without exception)
addu.01, ADDU, Pass, ns4516, Add 16 and 8
addu.02, ADDU, Pass, qf316, Add 2147483000 and 99999999 (should overflow without exception)
addu.03, ADDU, Pass, ns4516, Add -2147483648 and -1 (should overflow without exception)
and.01, AND, Pass, ns4516, AND 0xAA against 0s to get 0s
and.02, AND, Pass, ns4516, AND 0xFFFFFFFF and 0x00AA0020 to get itself
and.03, AND, Pass, ns4516, AND 0x00AC against 0xB0D0
andi.01, ANDI, Pass, ns4516, ANDI 0xAA against 0s to get 0s
andi.02, ANDI, Pass, ns4516, ANDI 0xFFFFFFFF and 0x29FC to get itself
andi.03, ANDI, Pass, ns4516, ANDI 0x00AC against 0xB0D0
beq.01, BEQ, Pass, qf316, BEQ on -16 and -16 should branch
beq.02, BEQ, Pass, qf316, BEQ on -16 and 0 should not branch
beq.03, BEQ, Pass, qf316, BEQ on 1 and 0 should not branch
beq.04, BEQ, Pass, qf316, BEQ on 2147483647 (MAX_INT) and -2147483648 (MIN_INT) should not branch
beq.05, BEQ, Pass, qf316, BEQ on 2147483647 (MAX_INT) and 2147483647 (MAX_INT) should branch
beq.06, BEQ, Pass, qf316, BEQ on -2147483648 (MIN_INT) and -2147483648 (MIN_INT) should branch
bgez.01, BGEZ, Pass, qf316, BGEZ on -16 should not branch
bgez.02, BGEZ, Pass, qf316, BGEZ on -1 should not branch
bgez.03, BGEZ, Pass, qf316, BGEZ on 1 should branch
bgez.04, BGEZ, Pass, qf316, BGEZ on 2147483647 (MAX_INT) should branch
bgez.05, BGEZ, Pass, qf316, BGEZ on 0 should branch
bgez.06, BGEZ, Pass, qf316, BGEZ on -2147483648 (MIN_INT) should not branch
bgezal.01, BGEZAL, Pass, qf316, BGEZAL on -16 should not branch
bgezal.02, BGEZAL, Pass, qf316, BGEZAL on -1 should not branch
bgezal.03, BGEZAL, Pass, qf316, BGEZAL on 1 should branch
bgezal.04, BGEZAL, Pass, qf316, BGEZAL on 2147483647 (MAX_INT) should branch
bgezal.05, BGEZAL, Pass, qf316, BGEZAL on 0 should branch
bgezal.06, BGEZAL, Pass, qf316, BGEZAL on -2147483648 (MIN_INT) should not branch
bgtz.01, BGTZ, Pass, qf316, BGTZ on -16 should not branch
bgtz.02, BGTZ, Pass, qf316, BGTZ on -1 should not branch
bgtz.03, BGTZ, Pass, qf316, BGTZ on 1 should branch
bgtz.04, BGTZ, Pass, qf316, BGTZ on 2147483647 (MAX_INT) should branch
